Location,Price,Hour,Time_of_Day,Day,Day_W,Month,Year,Season,High_Qual,Position,Seafront
Phoenix,162.42420305634,18,Evening,20,Wednesday,12,2023,winter,False,southwestern,inland
Houston,166.75093120354214,20,Evening,9,Friday,8,2019,summer,False,south,seacost
Chicago,301.6398625136431,14,Afternoon,1,Saturday,7,2023,summer,True,midwest,seacost
Chicago,295.9462329232316,21,Evening,2,Wednesday,11,2016,autumn,True,midwest,seacost
Philadelphia,304.11807422238684,3,Night,26,Thursday,3,2015,spring,False,east,seacost
Chicago,171.93098747003705,13,Afternoon,1,Wednesday,4,2015,spring,False,midwest,seacost
Philadelphia,354.06976993416333,5,Night,29,Wednesday,11,2017,autumn,True,east,seacost
San Jose,436.9714667576784,4,Night,27,Friday,1,2017,winter,True,west,seacost
San Jose,309.48174543259336,3,Night,4,Thursday,2,2021,winter,False,west,seacost
New York,344.8118191888158,12,Afternoon,30,Thursday,5,2019,spring,False,east,seacost
Houston,220.1522617845237,10,Morning,31,Monday,5,2021,spring,False,south,seacost
San Diego,219.39616022872903,7,Morning,13,Sunday,3,2022,spring,False,southwestern,seacost
San Diego,220.1213291190492,16,Afternoon,24,Tuesday,8,2021,summer,False,southwestern,seacost
Los Angeles,227.7577463657757,5,Night,5,Tuesday,7,2016,summer,False,west,seacost
San Jose,207.2550012492462,4,Night,8,Friday,5,2015,spring,False,west,seacost
Phoenix,280.3847265258635,18,Evening,24,Sunday,12,2023,winter,True,southwestern,inland
San Diego,380.351477533072,9,Morning,14,Wednesday,1,2015,winter,True,southwestern,seacost
San Antonio,192.3278722637673,14,Afternoon,2,Monday,4,2018,spring,False,south,inland
San Diego,242.8303955168477,3,Night,1,Sunday,5,2016,spring,False,southwestern,seacost
Chicago,345.37880557130364,22,Evening,30,Monday,3,2020,spring,True,midwest,seacost
Houston,158.92216323121824,7,Morning,26,Saturday,12,2015,winter,False,south,seacost
San Diego,294.99174865070444,4,Night,28,Saturday,11,2015,autumn,False,southwestern,seacost
Houston,121.9895942192758,20,Evening,25,Saturday,7,2020,summer,False,south,seacost
San Antonio,138.2404394034898,8,Morning,21,Tuesday,1,2020,winter,False,south,inland
Chicago,264.9664640062823,14,Afternoon,15,Saturday,12,2018,winter,False,midwest,seacost
Phoenix,232.43673056883395,0,Night,11,Thursday,1,2018,winter,False,southwestern,inland
Philadelphia,281.0589128550423,2,Night,1,Monday,3,2021,spring,False,east,seacost
Philadelphia,356.09636815981537,9,Morning,2,Saturday,7,2022,summer,True,east,seacost
New York,448.02156624682414,19,Evening,19,Tuesday,1,2021,winter,True,east,seacost
Chicago,303.3268421166987,1,Night,1,Monday,6,2020,summer,False,midwest,seacost
New York,289.52753524312766,13,Afternoon,22,Sunday,3,2015,spring,False,east,seacost
Los Angeles,373.5017074471487,21,Evening,24,Friday,6,2016,summer,True,west,seacost
Los Angeles,173.70847036648044,17,Afternoon,7,Tuesday,9,2021,autumn,False,west,seacost
San Jose,354.98120893377893,21,Evening,8,Sunday,3,2020,spring,False,west,seacost
Phoenix,203.6675574906868,14,Afternoon,9,Friday,1,2015,winter,False,southwestern,inland
Los Angeles,189.85844815160112,12,Afternoon,26,Tuesday,5,2015,spring,False,west,seacost
Los Angeles,412.4214128384599,20,Evening,12,Tuesday,11,2019,autumn,True,west,seacost
Chicago,201.22498074689932,18,Evening,25,Tuesday,8,2015,summer,False,midwest,seacost
Dallas,245.3931493119444,17,Afternoon,29,Tuesday,5,2018,spring,False,south,inland
New York,413.57827125748565,14,Afternoon,17,Saturday,8,2019,summer,True,east,seacost
Philadelphia,261.73909941785337,21,Evening,1,Sunday,10,2023,autumn,False,east,seacost
San Jose,184.5413550529296,20,Evening,12,Sunday,4,2015,spring,False,west,seacost
Los Angeles,369.2469436172412,4,Night,20,Friday,9,2019,autumn,True,west,seacost
Chicago,204.7713040941121,18,Evening,4,Sunday,11,2018,autumn,False,midwest,seacost
San Jose,444.9200606675517,21,Evening,14,Saturday,10,2017,autumn,True,west,seacost
San Antonio,276.7650892889116,23,Evening,19,Tuesday,12,2017,winter,True,south,inland
Philadelphia,351.8968266707289,18,Evening,25,Wednesday,4,2018,spring,True,east,seacost
San Jose,256.87595326136983,18,Evening,16,Sunday,1,2022,winter,False,west,seacost
Chicago,301.7111466741758,19,Evening,24,Tuesday,1,2023,winter,True,midwest,seacost
Dallas,326.9923938603496,14,Afternoon,31,Tuesday,7,2018,summer,True,south,inland
San Diego,287.37005134637275,21,Evening,6,Monday,6,2016,summer,False,southwestern,seacost
San Antonio,194.14643099104632,20,Evening,10,Wednesday,6,2020,summer,False,south,inland
Phoenix,102.93316419441416,2,Night,4,Thursday,6,2020,summer,False,southwestern,inland
Phoenix,240.0407537469873,7,Morning,23,Thursday,2,2017,winter,False,southwestern,inland
San Antonio,271.69551372037085,17,Afternoon,8,Sunday,5,2022,spring,True,south,inland
Philadelphia,194.3388683812758,15,Afternoon,4,Tuesday,1,2022,winter,False,east,seacost
Los Angeles,228.20688159210388,7,Morning,17,Monday,8,2020,summer,False,west,seacost
Philadelphia,260.17602554480067,11,Morning,6,Monday,6,2022,summer,False,east,seacost
Philadelphia,148.7408409139944,22,Evening,16,Friday,10,2020,autumn,False,east,seacost
New York,176.89274282962108,22,Evening,26,Sunday,1,2020,winter,False,east,seacost
San Antonio,184.2221517776161,14,Afternoon,17,Tuesday,8,2021,summer,False,south,inland
Phoenix,152.24379054068433,3,Night,26,Thursday,5,2016,spring,False,southwestern,inland
Chicago,217.44895260786444,20,Evening,4,Monday,10,2021,autumn,False,midwest,seacost
San Diego,267.2281634679826,18,Evening,12,Tuesday,10,2021,autumn,False,southwestern,seacost
Phoenix,295.25467934782364,23,Evening,27,Wednesday,4,2022,spring,True,southwestern,inland
San Diego,404.3927496287945,11,Morning,18,Monday,11,2019,autumn,True,southwestern,seacost
Los Angeles,179.1244424311345,5,Night,3,Monday,1,2022,winter,False,west,seacost
New York,414.7757921196739,2,Night,17,Sunday,12,2023,winter,True,east,seacost
San Antonio,116.04133246601572,4,Night,25,Monday,4,2022,spring,False,south,inland
Los Angeles,282.1379315209711,16,Afternoon,13,Monday,11,2023,autumn,False,west,seacost
Chicago,159.3383760263437,17,Afternoon,16,Saturday,5,2020,spring,False,midwest,seacost
New York,259.76764360708023,10,Morning,30,Sunday,4,2023,spring,False,east,seacost
San Diego,348.13526318162604,12,Afternoon,17,Saturday,10,2020,autumn,False,southwestern,seacost
San Antonio,184.90109587137,11,Morning,2,Thursday,4,2015,spring,False,south,inland
Houston,287.52928326569344,20,Evening,20,Monday,2,2017,winter,True,south,seacost
Houston,268.1394564282592,20,Evening,5,Sunday,3,2023,spring,False,south,seacost
Los Angeles,403.99504493908455,21,Evening,25,Wednesday,11,2015,autumn,True,west,seacost
Los Angeles,289.5636857640456,22,Evening,18,Wednesday,5,2022,spring,False,west,seacost
Phoenix,260.42959079755906,2,Night,6,Saturday,10,2018,autumn,True,southwestern,inland
Chicago,197.49770552089245,12,Afternoon,10,Saturday,3,2018,spring,False,midwest,seacost
Los Angeles,236.8088366251621,22,Evening,2,Friday,9,2016,autumn,False,west,seacost
Chicago,216.1225112595613,14,Afternoon,7,Tuesday,4,2020,spring,False,midwest,seacost
Houston,200.4014615455796,23,Evening,30,Tuesday,3,2021,spring,False,south,seacost
Los Angeles,168.91090178647286,17,Afternoon,28,Wednesday,4,2021,spring,False,west,seacost
Los Angeles,285.3477030129218,4,Night,3,Thursday,1,2019,winter,False,west,seacost
Houston,131.29670823918565,20,Evening,21,Tuesday,2,2023,winter,False,south,seacost
Chicago,333.5429125967434,9,Morning,14,Saturday,9,2019,autumn,True,midwest,seacost
San Diego,157.31653930252207,18,Evening,6,Tuesday,10,2015,autumn,False,southwestern,seacost
Dallas,208.93277466804795,22,Evening,24,Thursday,12,2015,winter,False,south,inland
Dallas,172.63269460589473,20,Evening,27,Thursday,1,2022,winter,False,south,inland
Dallas,144.0712714439854,20,Evening,9,Wednesday,9,2015,autumn,False,south,inland
Chicago,308.1208058021309,4,Night,21,Friday,7,2017,summer,False,midwest,seacost
Philadelphia,315.8824237190767,23,Evening,7,Tuesday,7,2015,summer,False,east,seacost
Philadelphia,167.94645144719345,7,Morning,4,Tuesday,7,2023,summer,False,east,seacost
Phoenix,226.55312822126203,4,Night,3,Monday,4,2023,spring,False,southwestern,inland
Phoenix,258.5110334660892,12,Afternoon,4,Saturday,9,2021,autumn,True,southwestern,inland
San Diego,356.5330217035683,22,Evening,11,Friday,12,2015,winter,False,southwestern,seacost
San Antonio,118.45591953267233,21,Evening,1,Saturday,6,2019,summer,False,south,inland
Philadelphia,308.23330695190185,10,Morning,7,Tuesday,11,2017,autumn,False,east,seacost
San Jose,364.8071762650731,11,Morning,20,Thursday,6,2019,summer,False,west,seacost
Phoenix,272.43325340840545,1,Night,4,Saturday,5,2019,spring,True,southwestern,inland
Houston,221.7697545502971,2,Night,31,Wednesday,5,2023,spring,False,south,seacost
Dallas,211.44068006673865,23,Evening,27,Wednesday,4,2022,spring,False,south,inland
Houston,322.3255914822834,12,Afternoon,3,Tuesday,1,2023,winter,True,south,seacost
San Jose,388.9536767216261,3,Night,4,Sunday,6,2023,summer,True,west,seacost
San Diego,296.4446774258169,1,Night,14,Monday,8,2017,summer,False,southwestern,seacost
Dallas,182.7357556884815,0,Night,22,Monday,7,2019,summer,False,south,inland
Chicago,322.8571190408426,5,Night,14,Friday,1,2022,winter,True,midwest,seacost
Los Angeles,267.5221890500333,1,Night,8,Wednesday,3,2017,spring,False,west,seacost
Houston,130.39074227479534,18,Evening,15,Monday,5,2017,spring,False,south,seacost
San Jose,286.47128181403195,14,Afternoon,12,Thursday,3,2020,spring,False,west,seacost
Houston,301.8330471530322,4,Night,18,Monday,6,2018,summer,True,south,seacost
Houston,208.622072316778,8,Morning,30,Saturday,3,2019,spring,False,south,seacost
Philadelphia,133.73077841249105,17,Afternoon,3,Saturday,10,2015,autumn,False,east,seacost
Houston,244.5267712616233,2,Night,11,Wednesday,2,2015,winter,False,south,seacost
Phoenix,299.16600068227973,1,Night,13,Sunday,5,2018,spring,True,southwestern,inland
Phoenix,263.4497168081024,11,Morning,30,Wednesday,9,2020,autumn,False,southwestern,inland
Philadelphia,290.48186612071845,15,Afternoon,5,Monday,2,2018,winter,False,east,seacost
San Jose,424.31966603936553,6,Morning,1,Friday,1,2021,winter,True,west,seacost
Los Angeles,367.80287086229725,0,Night,3,Saturday,9,2022,autumn,True,west,seacost
San Diego,279.6190187672113,22,Evening,31,Sunday,3,2019,spring,False,southwestern,seacost
Los Angeles,305.54167991406683,23,Evening,7,Monday,11,2016,autumn,False,west,seacost
Los Angeles,344.7619865768455,19,Evening,22,Friday,9,2023,autumn,False,west,seacost
San Antonio,269.2852327957729,3,Night,2,Friday,3,2018,spring,True,south,inland
Philadelphia,145.12586461794498,15,Afternoon,31,Saturday,10,2015,autumn,False,east,seacost
Phoenix,254.96077143223025,8,Morning,4,Saturday,4,2020,spring,False,southwestern,inland
San Jose,284.2510319934606,22,Evening,1,Wednesday,3,2023,spring,False,west,seacost
San Diego,325.0235968844314,11,Morning,12,Saturday,9,2015,autumn,False,southwestern,seacost
Philadelphia,328.804582849301,4,Night,4,Monday,4,2016,spring,True,east,seacost
Philadelphia,270.2705005071366,19,Evening,31,Monday,10,2022,autumn,False,east,seacost
San Jose,197.5544551741197,1,Night,25,Saturday,5,2019,spring,False,west,seacost
Dallas,200.0959029340185,20,Evening,27,Sunday,12,2015,winter,False,south,inland
San Antonio,115.37459875047595,18,Evening,9,Monday,5,2016,spring,False,south,inland
San Jose,356.7902073465791,0,Night,14,Saturday,12,2019,winter,False,west,seacost
San Jose,436.111854588925,4,Night,20,Friday,7,2018,summer,True,west,seacost
Los Angeles,362.6707874227723,14,Afternoon,8,Sunday,12,2019,winter,False,west,seacost
Los Angeles,249.14019838039323,17,Afternoon,15,Wednesday,2,2023,winter,False,west,seacost
Dallas,238.5441291212088,20,Evening,11,Saturday,3,2023,spring,False,south,inland
San Diego,225.17618923712337,2,Night,23,Thursday,5,2019,spring,False,southwestern,seacost
Phoenix,208.209119910993,2,Night,13,Monday,11,2023,autumn,False,southwestern,inland
Houston,176.15991927262087,7,Morning,15,Monday,5,2023,spring,False,south,seacost
Houston,272.4314464956942,0,Night,11,Tuesday,5,2021,spring,False,south,seacost
San Jose,227.80245239610764,9,Morning,12,Thursday,11,2020,autumn,False,west,seacost
Houston,322.0844858954568,17,Afternoon,29,Sunday,12,2019,winter,True,south,seacost
San Antonio,232.3897464347063,12,Afternoon,10,Sunday,10,2021,autumn,False,south,inland
San Antonio,113.75556953676876,7,Morning,26,Saturday,9,2020,autumn,False,south,inland
San Diego,143.0177737815941,23,Evening,20,Wednesday,9,2017,autumn,False,southwestern,seacost
Los Angeles,419.1729763774281,15,Afternoon,25,Tuesday,7,2023,summer,True,west,seacost
San Antonio,144.10111564315872,18,Evening,16,Sunday,9,2018,autumn,False,south,inland
San Jose,243.76882453715325,3,Night,26,Thursday,11,2020,autumn,False,west,seacost
San Antonio,141.6828028404217,2,Night,21,Tuesday,11,2017,autumn,False,south,inland
Los Angeles,399.8684962919311,10,Morning,18,Thursday,8,2016,summer,True,west,seacost
San Diego,322.5636007072119,9,Morning,5,Saturday,8,2023,summer,False,southwestern,seacost
Philadelphia,261.1404441245888,14,Afternoon,28,Thursday,5,2015,spring,False,east,seacost
San Jose,317.2952443477712,15,Afternoon,6,Monday,11,2023,autumn,False,west,seacost
Dallas,179.9320264058212,0,Night,6,Thursday,10,2022,autumn,False,south,inland
San Diego,311.96900066187555,23,Evening,26,Wednesday,10,2022,autumn,False,southwestern,seacost
San Jose,275.88010903647955,21,Evening,13,Wednesday,5,2020,spring,False,west,seacost
Phoenix,139.84562928483584,13,Afternoon,6,Sunday,3,2022,spring,False,southwestern,inland
Philadelphia,300.7173259245692,1,Night,1,Thursday,9,2016,autumn,False,east,seacost
New York,262.1521707777637,22,Evening,11,Sunday,4,2021,spring,False,east,seacost
Philadelphia,334.117258570462,19,Evening,14,Monday,3,2016,spring,True,east,seacost
San Jose,274.61848725285813,13,Afternoon,20,Tuesday,2,2018,winter,False,west,seacost
San Jose,302.4814125138589,1,Night,10,Friday,12,2021,winter,False,west,seacost
San Jose,386.23994375426895,6,Morning,16,Tuesday,2,2021,winter,False,west,seacost
San Antonio,189.5756185839462,18,Evening,2,Tuesday,3,2021,spring,False,south,inland
Dallas,322.5686497273162,12,Afternoon,1,Saturday,7,2017,summer,True,south,inland
Phoenix,258.60573343902234,12,Afternoon,22,Sunday,3,2015,spring,False,southwestern,inland
San Jose,397.9291215944936,22,Evening,2,Sunday,1,2022,winter,True,west,seacost
Philadelphia,378.0193213429692,1,Night,4,Sunday,3,2018,spring,True,east,seacost
New York,266.65518865296224,3,Night,16,Wednesday,1,2019,winter,False,east,seacost
San Jose,324.02407925465127,16,Afternoon,24,Friday,3,2017,spring,False,west,seacost
Chicago,286.4620177909448,0,Night,17,Monday,4,2023,spring,False,midwest,seacost
Los Angeles,328.5683753913766,20,Evening,29,Wednesday,12,2021,winter,False,west,seacost
Los Angeles,406.82230247708543,7,Morning,22,Thursday,8,2019,summer,True,west,seacost
Dallas,173.43669945323362,3,Night,11,Thursday,8,2016,summer,False,south,inland
San Diego,221.58122801527776,6,Morning,30,Monday,3,2020,spring,False,southwestern,seacost
Dallas,311.9609684486123,7,Morning,24,Thursday,11,2016,autumn,True,south,inland
San Antonio,259.86112834531195,10,Morning,25,Thursday,8,2016,summer,True,south,inland
San Jose,211.00698722087927,20,Evening,27,Tuesday,11,2018,autumn,False,west,seacost
Dallas,235.41031318040888,16,Afternoon,12,Thursday,10,2023,autumn,False,south,inland
Philadelphia,323.8985708650454,4,Night,24,Saturday,9,2016,autumn,False,east,seacost
Los Angeles,238.85018932530247,1,Night,28,Wednesday,2,2018,winter,False,west,seacost
Phoenix,186.87645024427803,9,Morning,1,Wednesday,11,2023,autumn,False,southwestern,inland
Los Angeles,301.11105126505004,8,Morning,5,Monday,4,2021,spring,False,west,seacost
Houston,212.7638826606064,5,Night,9,Friday,10,2015,autumn,False,south,seacost
Chicago,300.73017361656787,9,Morning,17,Monday,1,2022,winter,False,midwest,seacost
San Diego,141.66285103125952,16,Afternoon,6,Saturday,6,2020,summer,False,southwestern,seacost
New York,280.3897573173151,7,Morning,11,Thursday,8,2022,summer,False,east,seacost
San Jose,251.27441259866148,13,Afternoon,7,Monday,3,2022,spring,False,west,seacost
Dallas,244.0160916225619,11,Morning,27,Thursday,7,2023,summer,False,south,inland
Los Angeles,357.2683637267807,10,Morning,30,Sunday,5,2021,spring,True,west,seacost
Houston,126.75193568433666,12,Afternoon,30,Sunday,7,2017,summer,False,south,seacost
Phoenix,131.61194672023848,11,Morning,18,Saturday,4,2015,spring,False,southwestern,inland
San Jose,349.52448724261,4,Night,19,Thursday,5,2016,spring,False,west,seacost
San Jose,371.5207323046251,8,Morning,17,Monday,4,2017,spring,False,west,seacost
Los Angeles,304.6964975820739,7,Morning,14,Saturday,10,2017,autumn,False,west,seacost
San Jose,444.8410046903779,22,Evening,16,Thursday,1,2020,winter,True,west,seacost
Chicago,239.8707573855779,7,Morning,15,Wednesday,11,2017,autumn,False,midwest,seacost
New York,190.88770052929308,22,Evening,26,Saturday,9,2015,autumn,False,east,seacost
Chicago,284.7098544890592,10,Morning,26,Saturday,11,2022,autumn,False,midwest,seacost
Philadelphia,286.5396357706475,18,Evening,11,Saturday,3,2023,spring,False,east,seacost
New York,327.126442509079,4,Night,4,Saturday,2,2017,winter,False,east,seacost
Phoenix,209.17072704927963,5,Night,15,Sunday,3,2015,spring,False,southwestern,inland
San Antonio,287.8191419099078,7,Morning,2,Thursday,2,2023,winter,True,south,inland
San Diego,176.16379111143624,6,Morning,17,Thursday,3,2022,spring,False,southwestern,seacost
Philadelphia,149.03129761649438,11,Morning,19,Tuesday,4,2016,spring,False,east,seacost
Phoenix,130.82343387546396,18,Evening,14,Wednesday,3,2018,spring,False,southwestern,inland
San Diego,208.5972587733861,12,Afternoon,7,Sunday,10,2018,autumn,False,southwestern,seacost
Dallas,240.44819027602324,10,Morning,5,Sunday,2,2017,winter,False,south,inland
Los Angeles,311.4790697470856,14,Afternoon,31,Monday,5,2021,spring,False,west,seacost
Chicago,175.82445058970023,4,Night,15,Sunday,4,2018,spring,False,midwest,seacost
San Jose,296.7676497932813,5,Night,21,Saturday,9,2019,autumn,False,west,seacost
New York,294.6185558303205,12,Afternoon,2,Thursday,6,2016,summer,False,east,seacost
Dallas,209.6843685827496,19,Evening,15,Monday,5,2023,spring,False,south,inland
Houston,286.77996488078475,1,Night,24,Thursday,8,2017,summer,True,south,seacost
San Diego,272.0740595651769,6,Morning,23,Friday,9,2016,autumn,False,southwestern,seacost
San Jose,377.5096487868498,15,Afternoon,28,Saturday,5,2016,spring,False,west,seacost
San Antonio,133.29622636095962,7,Morning,12,Thursday,8,2021,summer,False,south,inland
Dallas,227.03281569609692,12,Afternoon,30,Monday,4,2018,spring,False,south,inland
Los Angeles,370.7493372976947,2,Night,10,Sunday,12,2023,winter,True,west,seacost
Philadelphia,176.206311818227,14,Afternoon,20,Saturday,7,2019,summer,False,east,seacost
Chicago,231.5813204874389,7,Morning,25,Wednesday,7,2018,summer,False,midwest,seacost
San Jose,332.72379481071505,3,Night,25,Saturday,3,2017,spring,False,west,seacost
Houston,150.6504064642032,0,Night,28,Thursday,11,2019,autumn,False,south,seacost
Dallas,276.4884333005087,3,Night,11,Saturday,11,2023,autumn,False,south,inland
San Jose,173.69887433889522,17,Afternoon,12,Monday,8,2019,summer,False,west,seacost
Houston,318.2114119596982,22,Evening,7,Monday,12,2015,winter,True,south,seacost
San Jose,290.4664482654407,20,Evening,20,Saturday,4,2019,spring,False,west,seacost
Chicago,200.66954072771435,13,Afternoon,8,Thursday,4,2021,spring,False,midwest,seacost
Phoenix,123.36140143252808,15,Afternoon,5,Thursday,1,2023,winter,False,southwestern,inland
Philadelphia,242.47512719764484,4,Night,31,Monday,7,2023,summer,False,east,seacost
San Diego,324.7451282294161,10,Morning,4,Monday,5,2020,spring,False,southwestern,seacost
Philadelphia,154.56669257701986,17,Afternoon,8,Wednesday,6,2022,summer,False,east,seacost
San Diego,225.7553466469696,13,Afternoon,20,Saturday,8,2022,summer,False,southwestern,seacost
Phoenix,267.20351655454226,4,Night,29,Wednesday,5,2019,spring,True,southwestern,inland
Los Angeles,320.9306871675316,8,Morning,8,Wednesday,5,2019,spring,False,west,seacost
Dallas,155.40206260867728,9,Morning,8,Saturday,7,2017,summer,False,south,inland
Chicago,158.6183509903414,13,Afternoon,15,Sunday,11,2015,autumn,False,midwest,seacost
Phoenix,280.89700524018,8,Morning,18,Wednesday,2,2015,winter,True,southwestern,inland
Dallas,173.1444486950166,6,Morning,16,Thursday,7,2020,summer,False,south,inland
Philadelphia,176.6700439136439,21,Evening,7,Monday,1,2019,winter,False,east,seacost
Chicago,359.9913644502245,9,Morning,16,Thursday,8,2018,summer,True,midwest,seacost
Los Angeles,226.5737117778136,21,Evening,15,Saturday,10,2016,autumn,False,west,seacost
Los Angeles,174.92725258662182,15,Afternoon,19,Thursday,5,2016,spring,False,west,seacost
Chicago,230.82183114070727,0,Night,3,Sunday,1,2016,winter,False,midwest,seacost
San Jose,280.30353305954463,6,Morning,14,Saturday,10,2017,autumn,False,west,seacost
Philadelphia,370.9686437158861,13,Afternoon,16,Thursday,2,2017,winter,True,east,seacost
Los Angeles,177.5773852933653,8,Morning,2,Thursday,11,2023,autumn,False,west,seacost
Phoenix,118.22728122586136,5,Night,24,Sunday,9,2017,autumn,False,southwestern,inland
New York,177.89360127200402,5,Night,20,Saturday,4,2019,spring,False,east,seacost
Phoenix,280.8574931644473,2,Night,6,Thursday,2,2020,winter,True,southwestern,inland
Dallas,208.86121915143696,0,Night,20,Thursday,12,2018,winter,False,south,inland
New York,195.1819584465677,2,Night,27,Monday,11,2017,autumn,False,east,seacost
Phoenix,218.7660196758581,11,Morning,7,Wednesday,1,2015,winter,False,southwestern,inland
New York,311.2870066952496,16,Afternoon,20,Saturday,8,2016,summer,False,east,seacost
New York,209.5220243246698,17,Afternoon,24,Tuesday,10,2017,autumn,False,east,seacost
Chicago,264.72915346232907,7,Morning,24,Saturday,10,2020,autumn,False,midwest,seacost
Los Angeles,235.2647456087448,15,Afternoon,27,Monday,9,2021,autumn,False,west,seacost
Houston,162.4415689007914,15,Afternoon,27,Tuesday,10,2020,autumn,False,south,seacost
San Jose,303.1201832697085,5,Night,24,Saturday,12,2016,winter,False,west,seacost
Dallas,174.16283753360526,5,Night,30,Monday,7,2018,summer,False,south,inland
San Jose,216.64197652836395,5,Night,8,Sunday,8,2021,summer,False,west,seacost
Los Angeles,386.3222743239087,14,Afternoon,16,Friday,9,2022,autumn,True,west,seacost
Philadelphia,170.4982699090885,4,Night,22,Sunday,3,2015,spring,False,east,seacost
Philadelphia,202.95339409405645,22,Evening,2,Monday,4,2018,spring,False,east,seacost
Philadelphia,230.39597876095468,5,Night,8,Wednesday,5,2019,spring,False,east,seacost
Philadelphia,201.145960678006,12,Afternoon,2,Sunday,7,2017,summer,False,east,seacost
Phoenix,142.1421285155539,13,Afternoon,8,Wednesday,9,2021,autumn,False,southwestern,inland
Philadelphia,330.4979852341929,0,Night,27,Friday,4,2018,spring,False,east,seacost
Philadelphia,215.5442012681312,21,Evening,27,Sunday,8,2017,summer,False,east,seacost
San Antonio,122.5025915398677,13,Afternoon,10,Friday,4,2015,spring,False,south,inland
Houston,228.9969357404731,4,Night,10,Monday,7,2017,summer,False,south,seacost
Dallas,137.60746939201027,10,Morning,22,Monday,7,2019,summer,False,south,inland
Dallas,188.65431363700412,6,Morning,1,Wednesday,11,2023,autumn,False,south,inland
Phoenix,276.3653524544568,15,Afternoon,17,Sunday,7,2016,summer,True,southwestern,inland
Los Angeles,243.3651346297415,5,Night,2,Wednesday,12,2015,winter,False,west,seacost
San Jose,339.752692286475,0,Night,20,Thursday,5,2021,spring,False,west,seacost
Dallas,223.2176179218989,4,Night,20,Sunday,12,2020,winter,False,south,inland
Phoenix,127.54496915559513,14,Afternoon,21,Saturday,11,2020,autumn,False,southwestern,inland
San Antonio,229.81391955816704,2,Night,8,Thursday,4,2021,spring,False,south,inland
Chicago,325.4483992641135,6,Morning,21,Thursday,10,2021,autumn,True,midwest,seacost
Dallas,130.5067442899757,23,Evening,1,Sunday,10,2017,autumn,False,south,inland
San Diego,351.0304249563416,14,Afternoon,21,Thursday,4,2022,spring,True,southwestern,seacost
New York,357.06338445569344,5,Night,8,Monday,4,2019,spring,False,east,seacost
Los Angeles,382.6649609992008,4,Night,4,Thursday,10,2018,autumn,True,west,seacost
New York,181.2275796400401,13,Afternoon,13,Thursday,7,2023,summer,False,east,seacost
Los Angeles,225.5947062310701,15,Afternoon,27,Friday,10,2017,autumn,False,west,seacost
San Diego,334.4016164233847,2,Night,28,Wednesday,6,2017,summer,False,southwestern,seacost
Chicago,125.28431493279606,9,Morning,14,Monday,5,2018,spring,False,midwest,seacost
Phoenix,246.8151355460977,6,Morning,26,Tuesday,5,2015,spring,False,southwestern,inland
New York,407.3935737003363,7,Morning,9,Monday,5,2022,spring,True,east,seacost
San Jose,285.99121571302726,20,Evening,23,Saturday,4,2016,spring,False,west,seacost
Phoenix,186.86598068533044,0,Night,16,Wednesday,1,2019,winter,False,southwestern,inland
Los Angeles,217.97130937942248,3,Night,16,Monday,12,2019,winter,False,west,seacost
New York,151.5155610015262,10,Morning,22,Sunday,1,2017,winter,False,east,seacost
Chicago,164.71284399992544,19,Evening,28,Wednesday,2,2018,winter,False,midwest,seacost
New York,443.9592355267114,17,Afternoon,28,Wednesday,1,2015,winter,True,east,seacost
Dallas,300.8029369666985,17,Afternoon,28,Thursday,1,2016,winter,False,south,inland
Dallas,168.63102052476273,9,Morning,16,Wednesday,5,2018,spring,False,south,inland
San Diego,409.84967999389295,20,Evening,7,Tuesday,5,2019,spring,True,southwestern,seacost
Philadelphia,225.6052801478544,0,Night,4,Tuesday,8,2015,summer,False,east,seacost
San Jose,239.275612425354,11,Morning,21,Thursday,5,2020,spring,False,west,seacost
New York,195.8422906349656,16,Afternoon,19,Saturday,11,2022,autumn,False,east,seacost
Houston,308.35443529234834,7,Morning,5,Sunday,11,2023,autumn,True,south,seacost
Philadelphia,386.6180476773834,5,Night,17,Monday,1,2022,winter,True,east,seacost
Chicago,198.57873697264372,10,Morning,18,Sunday,12,2022,winter,False,midwest,seacost
Los Angeles,336.9605185403595,10,Morning,10,Friday,3,2023,spring,False,west,seacost
Chicago,200.47281835429308,8,Morning,21,Tuesday,11,2023,autumn,False,midwest,seacost
Dallas,133.09796264720015,6,Morning,20,Monday,11,2023,autumn,False,south,inland
San Antonio,178.5384613764648,19,Evening,22,Saturday,6,2019,summer,False,south,inland
Chicago,252.37679058268225,17,Afternoon,18,Friday,9,2015,autumn,False,midwest,seacost
Philadelphia,161.9843573858885,6,Morning,3,Saturday,6,2017,summer,False,east,seacost
San Diego,369.116376941133,15,Afternoon,12,Wednesday,10,2016,autumn,False,southwestern,seacost
Dallas,219.41988571652368,18,Evening,28,Sunday,10,2018,autumn,False,south,inland
Houston,161.56424955100607,20,Evening,5,Thursday,3,2015,spring,False,south,seacost
San Antonio,218.55191570858867,10,Morning,2,Friday,10,2015,autumn,False,south,inland
Dallas,284.51704733196846,0,Night,26,Friday,2,2021,winter,False,south,inland
Dallas,182.07735679143468,14,Afternoon,30,Thursday,4,2015,spring,False,south,inland
Phoenix,240.29526488011888,2,Night,20,Sunday,6,2021,summer,False,southwestern,inland
San Diego,259.8005703945924,14,Afternoon,30,Tuesday,8,2022,summer,False,southwestern,seacost
